date,temp_max,temp_min
2023-07-29,23.7,15.4
2023-07-30,23.7,15.1
2023-07-31,20.1,15.0
2023-08-01,21.1,16.8
2023-08-02,22.5,14.6
2023-08-03,23.2,16.8
2023-08-04,21.5,16.1
2023-08-05,21.0,13.9
2023-08-06,17.6,14.6
2023-08-07,19.1,13.4
2023-08-08,19.8,12.3
2023-08-09,19.9,12.2
2023-08-10,20.2,11.6
2023-08-11,24.7,10.5
2023-08-12,26.9,16.8
2023-08-13,25.8,16.7
2023-08-14,29.2,16.3
2023-08-15,29.6,19.1
2023-08-16,26.8,18.8
2023-08-17,25.5,17.6
2023-08-18,29.3,18.4
2023-08-19,30.9,18.8
2023-08-20,28.9,20.9
2023-08-21,26.8,19.2
2023-08-22,25.6,17.5
2023-08-23,26.5,15.7
2023-08-24,28.0,15.4
2023-08-25,29.4,20.1
2023-08-26,25.1,16.5
2023-08-27,21.4,12.7
2023-08-28,19.2,12.8
2023-08-29,16.5,14.4
2023-08-30,19.8,13.2
2023-08-31,18.2,12.8
2023-09-01,20.4,11.1
2023-09-02,21.8,10.1
2023-09-03,20.5,13.7
2023-09-04,24.2,11.6
2023-09-05,26.8,14.7
2023-09-06,28.4,13.0
2023-09-07,28.4,15.4
2023-09-08,28.8,15.8
2023-09-09,30.1,15.2
2023-09-10,30.1,13.4
2023-09-11,30.0,14.1
2023-09-12,29.6,14.4
2023-09-13,23.8,16.9
2023-09-14,20.7,11.5
2023-09-15,22.9,10.6
2023-09-16,25.2,13.0
2023-09-17,27.1,13.2
2023-09-18,27.8,17.1
2023-09-19,20.6,16.3
2023-09-20,24.6,15.5
2023-09-21,27.9,14.2
2023-09-22,19.6,15.4
2023-09-23,18.2,12.6
2023-09-24,19.3,9.9
2023-09-25,21.5,9.1
2023-09-26,24.0,11.7
2023-09-27,25.9,12.3
2023-09-28,25.7,14.5
2023-09-29,23.4,13.9
2023-09-30,19.2,12.2
2023-10-01,19.9,12.9
2023-10-02,24.6,13.1
2023-10-03,24.4,13.6
2023-10-04,17.3,12.1
2023-10-05,16.2,12.1
2023-10-06,17.8,10.9
2023-10-07,17.5,13.2
2023-10-08,14.2,9.9
2023-10-09,12.1,9.2
2023-10-10,16.8,10.4
2023-10-11,22.5,14.0
2023-10-12,19.1,12.1
2023-10-13,21.0,11.6
2023-10-14,20.2,9.7
2023-10-15,10.6,7.1
2023-10-16,10.4,4.0
2023-10-17,10.4,2.8
2023-10-18,11.7,0.2
2023-10-19,8.3,6.3
2023-10-20,7.2,5.1
2023-10-21,17.2,6.1
2023-10-22,15.9,7.2
2023-10-23,14.9,8.1
2023-10-24,14.1,9.9
2023-10-25,13.4,9.0
2023-10-26,11.4,8.4
2023-10-27,10.9,8.3
2023-10-28,11.9,8.5
2023-10-29,16.1,8.4
2023-10-30,15.3,11.1
2023-10-31,12.8,9.1
2023-11-01,14.4,6.4
2023-11-02,13.9,8.4
2023-11-03,11.0,7.8
2023-11-04,11.1,6.7
2023-11-05,12.4,8.1
2023-11-06,12.6,8.9
2023-11-07,11.9,7.2
2023-11-08,10.8,6.2
2023-11-09,11.6,5.9
2023-11-10,10.8,5.2
2023-11-11,9.1,3.1
2023-11-12,7.8,3.9
2023-11-13,8.7,1.6
2023-11-14,12.6,8.9
2023-11-15,9.4,4.7
2023-11-16,8.6,2.4
2023-11-17,5.7,1.0
2023-11-18,6.2,1.8
2023-11-19,11.5,3.8
2023-11-20,10.9,8.2
2023-11-21,8.2,0.3
2023-11-22,0.8,-4.2
2023-11-23,10.8,-0.1
2023-11-24,8.1,1.0
2023-11-25,3.0,-0.6
2023-11-26,0.8,-3.0
2023-11-27,1.6,-2.6
2023-11-28,0.1,-4.5
2023-11-29,0.8,-5.6
2023-11-30,-0.3,-7.4
2023-12-01,-2.9,-7.9
2023-12-02,-1.9,-4.7
2023-12-03,-1.0,-5.6
2023-12-04,-0.9,-5.2
2023-12-05,-0.7,-3.5
2023-12-06,0.6,-0.8
2023-12-07,1.0,-0.9
2023-12-08,1.3,-0.9
2023-12-09,4.6,0.6
2023-12-10,7.1,1.1
2023-12-11,8.4,5.2
2023-12-12,6.7,3.0
2023-12-13,4.9,2.8
2023-12-14,3.9,1.4
2023-12-15,5.3,-0.3
2023-12-16,7.8,4.9
2023-12-17,9.8,6.6
2023-12-18,7.1,5.1
2023-12-19,7.3,5.6
2023-12-20,6.6,4.0
2023-12-21,8.7,4.3
2023-12-22,4.3,1.9
2023-12-23,3.0,0.4
2023-12-24,10.6,0.9
2023-12-25,10.6,7.9
2023-12-26,9.6,5.1
2023-12-27,5.0,1.6
2023-12-28,10.1,4.6
2023-12-29,10.6,7.3
2023-12-30,8.4,4.2
2023-12-31,7.4,2.9
2024-01-01,7.3,3.4
